sender_email,sender_name,recipient_email,recipient_name,date_sent,subject
,,,,,ANTICIPATING TO HEAR FROM YOU SOON
,,,,,(Peace)
,,,,24 Sep 2004,GREETINGS FROM THOMSON.
,,,,25 Sep 2004,INVESTMENT
,,,,25 Sep 2004,INVESTMENT
,,,,26 Sep 2004,READ AND REPLY
,,,,25 Sep 2004,FROM SENEGAL-DAKAR.
,,,,27 Sep 2004,From Dr Ndeye
,,,,27 Sep 2004,PERSONAL FROM KABILA
,,,,,GOOD DAY FRIEND
,,,,,GOOD DAY FRIEND
,,,,,GOOD DAY FRIEND
,,,,,Hello
,,,,,GOOD DAY FRIEND
,,,,,GOOD DAY FRIEND
,,,,29 Sep 2004,Business Proposal
,,,,29 Sep 2004,Business Proposal
,,,,29 Sep 2004,PLEASE ENDEAVOUR TO USE IT FOR THE CHILDREN OF GOD.
,,,,30 Sep 2004,HELLO MY DEAR..
,,,,30 Sep 2004,HELLO MY DEAR..
,,,,,Confirm receipt
,,,,,REQUEST FOR ASSISTANCE!!!
,,,,,It's a proffer....
,,,,,Confirm receipt
,,,,2 Oct 2004,Mr JOHN DUF  pls call
,,,,4 Oct 2004,Business Partner Required
,,,,,=?iso-8859-1?Q?From=20Mr=20Edward=20Govou=2E?=
,,,,04 Oct 2004,From. Engr. Sule Alkali 
,,,,9 Oct 2004,Please Save Me.
,,,,9 Oct 2004,Please Save Me.
,,,,9 Oct 2004,Please Save Me.
,,,,9 Oct 2004,Please Save Me.
,,,,10 Oct 2004,God's will
,,,,,IMPERATIVE AND PRIVATE
,,,,12 Oct 2004,CAN YOU BE SINCERE
,,,,13 Oct 2004,I NEED YOUR COPERATION
,,,,14 Oct 2004,Msg from Mrs Atkins
,,,,,URGENT ASSISTANCE IS HIGHLY NEEDED.pls reply me back ASAP
,,,,,Urgent& Confidential
,,,,16 Oct 2004,Urgent Business Relation
,,,,16 Oct 2004,Urgent Business Relation
,,,,16 Oct 2004,I NEED YOUR HELP
,,,,23 Oct 2004,FROM DR.COLSMAN.
,,,,23 Oct 2004,CUSTODIAN REQUIRED
,,,,23 Oct 2004,CUSTODIAN REQUIRED
,,,,23 Oct 2004,CUSTODIAN REQUIRED
,,,,23 Oct 2004,CUSTODIAN REQUIRED
,,,,,MS.KIMAEVA LIOUDMILA
,,,,,MS.KIMAEVA LIOUDMILA
,,,,25 Oct 2004,CONFIDENTIAL.
,,,,24 Oct 2004,Good day
,,,,,MUTUAL PROJECT
,,,,27 Oct 2004,URGENT                           cooybphcr
,,,,27 Oct 2004,URGENT                           puqojqg
,,,,,form ahmed usma
,,,,,Urgent Business Propasal
,,,,29 Oct 2004,HELP........
,,,,29 Oct 2004,please help me
,,,,29 Oct 2004,urgent reply
,,,,,=?iso-8859-1?Q?Urgent_Assistance_from_you?=
,,,,1 Nov 2004,My Compliment
,,,,1 Nov 2004,My Compliment
,,,,1 Nov 2004,My Compliment
,,,,02 Nov 2004,Mead post from semassaq@netscape.net requires approval
,,,,02 Nov 2004,ARE YOU RELIABLE
,,,,03 Nov 2004,ARE YOU RELIABLE
,,,,5 Nov 2004,SEEKING FOR YOUR CO-OPERATION...............
,,,,,GOOD DAY
,,,,,YOUR CONSIGNMENT DEPARTURE TODAY'S MORNING
,,,,5 Nov 2004,IMPORTANT NOTICE!!!
,,,,05 Nov 2004,Contact me back Asap
,,,,,PLEASE SAVE MY SOUL
,,,,06 Nov 2004,Partnership/Cooperation
,,,,06 Nov 2004,Partnership/Cooperation
,,,,07 Nov 2004,BE THE NEXT OF KIN!!!
,,,,,Investment Proposal. 
,,,,,Investment Proposal. 
,,,,8 Nov 2004,Confidential
,,,,08 Nov 2004,PERSONAL
,,,,08 Nov 2004,PERSONAL
,,,,08 Nov 2004,PERSONAL
,,,,,URGENT ASSISTANCE
,,,,10 Nov 2004,Admin.Dept.
,,,,10 Nov 2004,CAN YOU BE SINCERE?
,,,,11 Nov 2004,Admin.Dept.
,,,,11 Nov 2004,CONFIDENTIAL FUNDS TRANSFER
,,,,11 Nov 2004,CONFIDENTIAL FUNDS TRANSFER
,,,,12 Nov 2004,AN IMPORTANT MESSAGE REV BARRY ALEXANDER
,,,,21 Nov 2004,PLEASE CALL ME URGENTLY
,,,,,BUSINESS PARTNERSHIP.
,,,,14 Nov 2004,CONFIDENTIAL (IN GOOD FAITH)
,,,,15 Nov 2004,GOOD DAY
,,,,16 Nov 2004,Good Day.
,,,,16 Nov 2004,Good Day.
,,,,16 Nov 2004,Good Day.
,,,,16 Nov 2004,PRIVATE!
,,,,1 Jan 1998,Proposal
,,,,1 Jan 1998,Proposal
,,,,18 Nov 2004,Confirm Message.ASAP
,,,,18 Nov 2004,Confirm Message.ASAP
,,,,18 Nov 2004,Confirm Message.ASAP
,,,,,Good Day .
,,,,20 Nov 2004,Review
,,,,19 Nov 2004,Review
,,,,20 Nov 2004,URGENT PROPOSAL
,,,,20 Nov 2004,BUSINESS OFFER
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,1 Jan 1998,Deal
,,,,21 Nov 2004,Acknowledge My Mail
,,,,21 Nov 2004,PROPOSAL
,,,,21 Nov 2004,URGENT MESSAGE.
,,,,22 Nov 2004,"""RASP"" Proposal!!!!!!!!!!!!!!!"
,,,,23 Nov 2004,CAN YOU BE SINCERE?
,,,,23 Nov 2004,BUSINESS RELATION.
,,,,, Urgent message Kwok
,,,,24 Nov 2004,URGENT ASSISTANCE...
,,,,24 Nov 2004,hi
,,,,24 Nov 2004,hi
,,,,24 Nov 2004,Review
,,,,24 Nov 2004,CRY FOR HELP
,,,,25 Nov 2004,BUSINESS RELATION.
,,,,25 Nov 2004,BUSINESS RELATION.
,,,,26 Nov 2004,Review
,,,,25 Nov 2004,Assist Abachas
,,,,26 Nov 2004,Request for Assistance
,,,,25 Nov 2004,THANKS FOR YOUR WILLINGNESS TO ASSIST
,,,,,Request...
,,,,,Request...
,,,,27 Nov 2004,Review
,,,,29 Nov 2004,Review
,,,,28 Nov 2004,Confirm Message.ASAP
,,,,29 Nov 2004,BUSINESS OFFER
,,,,29 Nov 2004,Fund For Investment
,,,,29 Nov 2004,DEAR FRIEND
,,,,30 Nov 2004,URGENT  INVESTMENT HELP  FROM  REV. W. ADAMS 
,,,,,Investment/Mutual Relationship
,,,,02 Dec 2004,BUSINESS/FUNDTRASNFER
,,,,,Greetings
,,,,02 Dec 2004,MY CONFIDNET
,,,,02 Dec 2004,MY CONFIDNET
,,,,03 Dec 2004,PLEASE HEAR MY TESTIMONY
,,,,,YOUR  ADVICE
,,,,,ATTN;PLEASE
,,,,05 Dec 2004,TESTAMENT
,,,,05 Dec 2004,TESTAMENT
,,,,05 Dec 2004,TESTAMENT
,,,,05 Dec 2004,TESTAMENT
,,,,05 Dec 2004,TESTAMENT
,,,,05 Dec 2004,TESTAMENT
,,,,5 Dec 2004,WASSE
,,,,,From Mr Basma Kouakou.
,,,,13 Jan 1999,URGENT
,,,,8 Dec 2004,[Nutch-dev] URGENT FUND TRANSFER\ INVESTMENT
,,,,8 Dec 2004,GOOD  DAY.
,,,,11 Dec 2004,Confirm Receipt. ASAP
,,,,11 Dec 2004,hi
,,,,,MR. RICHARD WILLIAMS.
,,,,12 Dec 2004,Confirm Message.ASAP
,,,,12 Dec 2004,Confirm Message.ASAP
,,,,13 Dec 2004,"""MY GOODWILL"""
,,,,13 Dec 2004,"""MY GOODWILL"""
,,,,13 Dec 2004,"""MY GOODWILL"""
,,,,,GOOD DAY.
,,,,14 Dec 2004,LOOKING FORWARD YOUR RESPOND.
,,,,14 Dec 2004,LOOKING FORWARD YOUR RESPOND.
,,,,15 Dec 2004,urgent
,,,,15 Dec 2004,Your Co-operation!
,,,,,HELLO
,,,,17 Dec 2004,HELLO
,,,,18 Dec 2004,ATTENTION PLEASE.
,,,,20 Dec 2004,I  NEED    YOUR  COPERATION
,,,,21 Dec 2004,I  NEED  YOUR   COPERATION
,,,,21 Dec 2004,GOOD DAY FRIEND
,,,,,Hello
,,,,24 Dec 2004,URGENT BUSINESS PROPOSAL
,,,,26 Dec 2004,URGENT BUSINESS PROPOSAL
,,,,,PROJECT.
,,,,26 Dec 2004,IAM LOOKING FORWARTD TO HEAR FROM YOU
,,,,26 Dec 2004,IAM LOOKING FORWARTD TO HEAR FROM YOU
,,,,27 Dec 2004,       URGENT   ASSISTANCE
,,,,28 Dec 2004,RE;  VERY  IMPORTANT
,,,,28 Dec 2004,SWIFT RESPONSE PLZ.
,,,,28 Dec 2004,APPEAL FOR ASSISTANCE. 
,,,,30 Dec 2004,THANKS
,,,,31 Dec 2004,AWAITING YOUR FAVOURABLE REPLY
,,,,3 Jan 2003,MY FAMILY NEEDS YOUR HELP
,,,,03 Jan 2005,AWAITING YOUR FAVOURABLE REPLY
,,,,06 Jan 2005,COMPLIMENTS OF THE SEASON
,,,,6 Jan 2005,HAPPY NEW YEAR
,,,,,Business Proposal.
,,,,8 Jan 2005,URGENTIY KIND ASSISTANCE
,,,,08 Jan 2005,TSUNAMI VICTIMS AIDS APPEAL
,,,,,CAN YOU BE SINCERE?
,,,,9 Jan 2005,Mr. Markus Bopp.
,,,,09 Jan 2005,"HELLO,"
,,,,,"Business partnership proposal,"
,,,,11 Jan 2005,Express Application
,,,,11 Jan 2005,Business Partnership
,,,,10 Feb 2005,Hello From Micheal !!!!! .
,,,,,order purchase
,,,,12 Jan 2005,CONFIDENTIAL
,,,,12 Jan 2005,"HOW ARE YOU TODAY,"
,,,,12 Jan 2005,"HOW ARE YOU TODAY,"
,,,,12 Jan 2005,"HOW ARE YOU TODAY,"
,,,,12 Jan 2005,URGENT HELP
,,,,13 Jan 2005,CONFIDENTIAL
,,,,14 Jan 2005,From Mr.Haitham
,,,,,URGENT  ASSISTANCE
,,,,14 Jan 2005,Favour Please
,,,,14 Jan 2005,"From Union Bank Of Switzerland UBS Warburg Branch, London."
,,,,,ASSISTANT REQUIRED
,,,,15 Jan 2005,Researchers post from william_k@o2.pl requires approval
,,,,15 Jan 2005,THIS AN'T LIVING
,,,,16 Jan 2005,[Nutch-dev] HELLO FRIEND
,,,,18 Jan 2005,
,,,,,TRUST VENTURE!!
,,,,19 Jan 2005,GREETINGS
,,,,19 Jan 2005,GREETINGS
,,,,19 Jan 2005,"Urgent Greeting,"
,,,,19 Jan 2005,CONFIDENTIAL
,,,,19 Jan 2005,
,,,,19 Jan 2005,HAPPY NEW YEAR
,,,,21 Jan 2005,Attn:Mr.Cheung Pui.
,,,,,EMMANUEL JEFF
,,,,22 Jan 2005,"HOW ARE YOU TODAY,"
,,,,22 Jan 2005,RESPONSE
,,,,24 Jan 2005,URGENT AND CONFIDENTIAL
,,,,26 Jan 2005,Your attention
,,,,26 Jan 2005,SWIFT RESPONSE PLZ.
,,,,26 Jan 2005,NOTIFICATION OF BEQUEST
,,,,26 Jan 2005,PLEASE YOUR ASSISTANCE IS NEEDED.
,,,,,From:Mike Rossman
,,,,27 Jan 2005,Business Venture
,,,,27 Jan 2005,Business Venture
,,,,29 Jan 2005,Please Respond ASAP.
,,,,20 Nov 2000,Thank you
,,,,18 Nov 2001,Thank you
,,,,31 Jan 2005,MARRIAM TAYLIR
,,,,1 Feb 2005,URGNT ASSITANCE PLEASE  1
,,,,1 Feb 2005,DEAR FREIND
,,,,,URGENT BUSINESS TRANSACTION
,,,,2 Feb 2005,Assalam Alaikum
,,,,03 Feb 2005,FAMILY REQUEST
,,,,4 Feb 2005,MRS. MARIAM !!!
,,,,4 Feb 2005,MRS. MARIAM !!!
,,,,4 Feb 2005,MRS. MARIAM !!!
,,,,4 Feb 2005,MRS. MARIAM !!!
,,,,4 Feb 2005,MRS. MARIAM !!!
,,,,5 Feb 2005,I sincerely write to seek your co-operation and trust.
,,,,06 Feb 2005,Attention
,,,,6 Feb 2005,SERVICES REQUIRED.
,,,,7 Feb 2005,URGENT FUND TRANSFER.
,,,,07 Feb 2005,HOW DO YOU DO
,,,,7 Feb 2005,FAVOURE PLEASE
,,,,7 Feb 2005,Joint-Venture.
,,,,8 Feb 2005,BUSINESS PROPOSAL
,,,,8 Feb 2005,Mutual Benefit
,,,,8 Feb 2005,Mutual Benefit
,,,,8 Feb 2005,Vacancy !!!
,,,,8 Feb 2005,Vacancy !!!
,,,,8 Feb 2005,Vacancy !!!
,,,,8 Feb 2005,Assist Plz.
,,,,08 Feb 2005,Researchers post from a_vlachko03@pro-alliance.info requires approval
,,,,09 Feb 2005,From the smile and comfort of your home.
,,,,09 Feb 2005,From the smile and comfort of your home.
,,,,9 Feb 2005,Assist Plz.
,,,,9 Feb 2005,From :Alex King.
,,,,10 Feb 2005,CONFIDENTIAL
,,,,10 Feb 2005,CONFIDENTIAL
,,,,10 Feb 2005,GREETINGS TO YOU AND YOUR FAMILY.
,,,,10 Feb 2005,Researchers post from abacha_abj@mycommail.com requires approval
,,,,04 Jan 2002,APPEAL
,,,,11 Feb 2005,URGENT wmm
,,,,11 Feb 2005,BUSNIESS PROPOSAL? okn
,,,,11 Feb 2005,ACT AS THE NEXT OF KIN
,,,,12 Feb 2005,Re-Compliments From Mr Turkin & Monica
,,,,12 Feb 2005,PLZ READ CAREFULLY.
,,,,12 Feb 2005,Mrs Caroline Haafkens
,,,,12 Feb 2005,Mrs Caroline Haafkens
,,,,13 Feb 2005,You must CONFIRM your request or we can not send info!
,,,,14 Feb 2005,REPLY  SOON.
,,,,14 Feb 2005,ASKING FOR ASSISTANCE
,,,,14 Feb 2005,FROM DAVID EVANS 
,,,,16 Feb 2005,GOOD DAY
,,,,17 Feb 2005,NAPIMS
,,,,17 Feb 2005,This Is Very Urgent Please Reply This Mail  (Thanks)
,,,,18 Feb 2005,YOUR ASSISTANCE PLEASE
,,,,18 Feb 2005,FROM MARK
,,,,18 Feb 2005,Acknowledge My Mail
,,,,20 Feb 2005,Urgent Attention!
,,,,20 Feb 2005,PROPOSAL !
,,,,21 Feb 2005,Regards
,,,,21 Feb 2005,Regards
,,,,23 Feb 2005,Re-profiling
,,,,,Acknowledge My Mail
,,,,23 Feb 2005,GREETINGS TO YOU AND YOUR FAMILY.
,,,,23 Feb 2005,MRS LINDA
,,,,23 Feb 2005,PROPOSAL
,,,,23 Feb 2005,COMPLIMENT OF THE SEASON
,,,,,FROM MRS SUZAN SANKOH
,,,,,FROM MRS SUZAN SANKOH
,,,,25 Feb 2005,Allah's Blessing
,,,,25 Feb 2005,Allah's Blessing
,,,,25 Feb 2005,LET US DO BUSINESS
,,,,27 Feb 2005,Good day
,,,,25 Feb 2005,Researchers post from princegodwin2006@zipmail.com.br requires
,,,,26 Feb 2005,DEAR FRIEND
,,,,,URGENT PARTHENERSHIP
,,,,,URGENT PARTHENERSHIP
,,,,,URGENT PARTHENERSHIP
,,,,28 Feb 2005,FROM MR AHMED
,,,,28 Feb 2005,Reminder
,,,,28 Feb 2005,INVESTMENT PARTNERSHIP
,,,,,Reply Urgently
,,,,2 Mar 2005,A plea for assistance!!!
,,,,02 Mar 2005,Please Kindly Assist
,,,,02 Mar 2005,Please Kindly Assist
,,,,02 Mar 2005,Researchers post from jameswilliam@eresmas.com requires approval
,,,,2 Mar 2005,REPLY SOONEST
,,,,04 Mar 2005,Re-profiling
,,,,,Acknowledge Receipt
,,,,5 Mar 2005,MR PAUL DOLL
,,,,07 Mar 2005,HELLO
,,,,9 Mar 2005,PROPOSAL
,,,,10 Mar 2005,Please kindly assist
,,,,10 Mar 2005,Please kindly assist
,,,,10 Mar 2005,Please kindly assist
,,,,10 Mar 2005,"Mrs.Ruthanne Ruby Martinez, Mutual Trust"
,,,,,Your kind response is urgently needed.
,,,,11 Mar 2005,FROM FUNSHO PETER
,,,,11 Mar 2005,SADDAM HUSSEIN'S PALACE
,,,,11 Mar 2005,Investment Partnership.... 
,,,,,from john_ishmeal
,,,,11 Mar 2005,CONFIDENTIAL
,,,,11 Mar 2005,Good Day.
,,,,12 Mar 2005,URGENT REPLY
,,,,14 Mar 2005,Please read & respond
,,,,14 Mar 2005,YOUR WISH.
,,,,,URGENT BUSINESS MATTER.
,,,,,Mrs. Mary Jerry Agbeyegbe
,,,,15 Mar 2005,FROM ANTHONY.
,,,,15 Mar 2005,YUKOS OIL
,,,,15 Mar 2005,Reminder
,,,,15 Mar 2005,Reply
,,,,16 Mar 2005,Attn:Project Mail/Representative Required/bao 076
,,,,15 Mar 2005,
,,,,16 Mar 2005,I will like to do joint business with you in your country!!
,,,,,Urgent proposal
,,,,17 Mar 2005,very urgent
,,,,17 Mar 2005,COME TO MY AID DEAR.
,,,,17 Mar 2005,KINDLY ASSIST.
,,,,17 Mar 2005,Attention 
,,,,17 Mar 2005,YOUR ATTE PLEASE /10.5M$
,,,,,URGENT BUSINESS MATTER.
,,,,,TRANSFER OF FUND
,,,,19 Mar 2005,MY INTRODUCTION.
,,,,19 Mar 2005,Letter Daniel Kabila
,,,,20 Mar 2005,Partnership Proposal.
,,,,20 Mar 2005,urgent
,,,,20 Mar 2005,Reply Soon!!!!!!!!!!
,,,,21 Mar 2005,Confirm receipt.ASAP
,,,,21 Mar 2005,Your assistance is highly needed as our life are highly in danger.
,,,,22 Mar 2005,WITH LOVE FROM LUISA
,,,,23 Mar 2005,ATTENTION PLS
,,,,23 Mar 2005,ATTENTION PLS
,,,,22 Mar 2005,REPLY URGENT
,,,,22 Mar 2005,LETTER FROM MRS MARIAM TAYLOR JOINTINVESTMENT PARTNERSHIP NEEDED
,,,,22 Mar 2005,MUTUAL BENEFIT.
,,,,23 Mar 2005,God Bless!!
,,,,23 Mar 2005,TRUST
,,,,23 Mar 2005,Proposal
,,,,23 Mar 2005,Reply Soon
,,,,24 Mar 2005,From:Dr.James Tshaba.
,,,,24 Mar 2005,Partnership
,,,,24 Mar 2005,GOD BE WITH YOU!!!
,,,,25 Mar 2005,=?iso-8859-1?B?Q2lhbGkkLiBPbmx5IDMgdXNkIHBlciBkb3NlIQ==?=
,,,,24 Mar 2005,Please Confirm Receipt From :Patrick
,,,,25 Mar 2005,ATTENTION.
,,,,25 Mar 2005,PLEASE ASSIST ME
,,,,25 Mar 2005,ASSIST ME
,,,,27 Mar 2005,Waiting for response Pls !!!
,,,,,URGENT BUSINESS MATTER.
,,,,28 Mar 2005,VERY  URGENT
,,,,28 Mar 2005,TREAT AS URGENT DEAR PARTINER
,,,,,URGENT BUSINESS MATTER.
,,,,29 Mar 2005,"urgent assistance needed,"
,,,,,URGENT BUSINESS MATTER.
,,,,,VERY URGENT ASSISTANT IS NEEDED.please reply me back ASAP
,,,,30 Mar 2005,RESPONSE ASAP!.
,,,,,URGENT BUSINESS MATTER.
,,,,31 Mar 2005,"Message from Ata, pls give me a hand."
,,,,,URGENT BUSINESS MATTER.
,,,,31 Mar 2005,regards!
,,,,31 Mar 2005,YOUR POSITIVE RESPONSE IS NEEDED
,,,,1 Apr 2005,I NEED YOUR HELP PLEASE. 
,,,,2 Apr 2005,"HELLO DEAR ,PLS WE ARE SEEKING FOR HELP"
,,,,01 Apr 2005,Researchers post from harryscrot@web-mail.com.ar requires approval
,,,,3 Apr 2005,Urgent
,,,,3 Apr 2005,FROM MR.TONY MALICK .....
,,,,4 Apr 2005,PROPOSAL
,,,,,WARM GREETING
,,,,12 Jan 1980,investment assistant.
,,,,6 Apr 2005,"HELLO DEAR  PLS, WE ARE SEEKING FOR HELP."
,,,,7 Apr 2005,INVESTMENT
,,,,08 Apr 2005,a call for help
,,,,8 Apr 2005,GOOD DAY FROM JEFF
,,,,08 Apr 2005,Help Please
,,,,08 Apr 2005,very urgent
,,,,9 Apr 2005,CLAIM.
,,,,,Personal
,,,,12 Apr 2005,Reply back for detailed discussion
,,,,12 Apr 2005,URGENT ATTENTION NEEDED!!!
,,,,13 Apr 2005,FROM:MR AUDITOR EDWARD.
,,,,14 Apr 2005,urgent reply
,,,,,PLEASE ASSIT ME WITH YOUR HEART OK
,,,,,PLEASE ASSIT ME WITH YOUR HEART OK
,,,,17 Apr 2005,FROM MRS.SUZANA NUHAN VAYE (WIDOW)
,,,,18 Apr 2005,please is very important
,,,,,CONSULTATION
,,,,18 Apr 2005,proposal
,,,,21 Apr 2005,TREAT AS URGENT DEAR PARTNER
,,,,21 Apr 2005,confindensal partnership....Diamonds Stones For Sale  
,,,,21 Apr 2005,From Mr Cyriel Kelvin  
,,,,21 Apr 2005,Researchers post from wang@web-mail.com.ar requires approval
,,,,22 Apr 2005,Urgent Request.
,,,,18 Aug 2005,ALIYU AHMED JNR.
,,,,,URGENT FAMILY ASSISTANCE
,,,,23 Apr 2005,From Nicholas
,,,,23 Apr 2005,from Mrs.Johnson
,,,,23 Apr 2005,Co-Operation
,,,,25 Apr 2005,Monkey costumes
,,,,,Urgent Replay 
,,,,,PLEASE LET ME HEAR FROM YOU
,,,,,PLEASE LET ME HEAR FROM YOU
,,,,25 Apr 2005,INVESTMENT   PARTNERSHIP
,,,,28 Apr 2005,Hello from Senegal.....
,,,,28 Apr 2005,please i nedd your urgentlt assistance.
,,,,29 Apr 2005,YOUR URGENT RESPONSE IS NEEDED.
,,,,29 Apr 2005,PLEASE I NEED YOUR ASSISTANCE.
,,,,29 Apr 2005,With Regard
,,,,,ATTENTION PLEASE
,,,,29 Apr 2005,FROM MISS VICTORIA
,,,,30 Apr 2005,FROM MRS.COMFORT SOMBA.
,,,,,INVESTMENT PROPOSAL
,,,,1 May 2005,INVESTMENT   PARTNERSHIP
,,,,2 May 2005,Dr.MRS MARIAM ABACHA
,,,,2 May 2005,transaction
,,,,2 May 2005,transaction
,,,,,URGENT ATTENTION
,,,,02 May 2005,ACKNOWLEGDE MY MAIL
,,,,3 May 2005,Farmers
,,,,3 May 2005,Farmers
,,,,3 May 2005,Farmers
,,,,3 May 2005,Farmers
,,,,4 May 2005,URGENT
,,,,04 May 2005,Get in touch
,,,,,Personal mail
,,,,04 May 2005,FROM JOHN SIMON
,,,,29 Apr 2005,
,,,,07 May 2005,FAMILY REQUEST FOR HELP 
,,,,7 May 2005,    From Nicholas Mavis
,,,,08 May 2005,NOTIFICATION OF BEQUEST
,,,,10 May 2005,GREETINGS FROM DUBAI
,,,,,YOUR COMPLIANCE IS NEEDED
,,,,,YOUR COMPLIANCE IS NEEDED
,,,,10 May 2005,URGENT  HELP  NEEDED
,,,,11 May 2005,Hello from Senegal.....
,,,,11 May 2005,Are You Interesting?.
,,,,12 May 2005,YOU ONLY'''
,,,,12 May 2005,
,,,,9 Jan 1980,assistance and investment proposal.
,,,,13 May 2005,REPLY SOONEST
,,,,18 May 2005,why i contacted you sir!
,,,,18 May 2005,INVESTMENT  PROPOSAL
,,,,18 May 2005,Urgent Message
,,,,18 May 2005,GREETINS FORM GRACE
,,,,18 May 2005,=?iso-8859-2?Q?CONFIDENTIAL?=
,,,,18 May 2005,=?iso-8859-2?Q?CONFIDENTIAL?=
,,,,19 May 2005,Good day
,,,,19 May 2005,Barrister  Philip Wilson
,,,,19 May 2005,CAN YOU BE FAITHFULL!!!!!!!!!!
,,,,19 May 2005,REPLY SOONEST
,,,,20 May 2005,Debt Collection Services...Dubai & worldwide
,,,,21 May 2005,Reply Urgently
,,,,22 May 2005,From Mr Nais Mohamed
,,,,23 May 2005,God Bless You My Dear Contact Me!!!
,,,,22 May 2005,BUSSINESS ASSISTANT
,,,,22 May 2005,                 MARY JOHN 
,,,,23 May 2005,Urgent Assistance pls.
,,,,23 May 2005,Urgent Assistance pls.
,,,,23 May 2005,Joint-venture
,,,,23 May 2005,partnership
,,,,24 May 2005,reply my mail to you
,,,,24 May 2005,VERY  URGENT FOR ME PLEASE
,,,,25 May 2005,GREETINGS FROM U.A.E
,,,,25 May 2005,GREETINGS FROM U.A.E
,,,,26 May 2005,MY MAIL MESSAGE TO YOU!!
,,,,26 May 2005,Mrs. Mary Kobe 
,,,,26 May 2005,Business project
,,,,26 May 2005,FROM WILLIAM AND SISTER.WE ARE SEEKING FOR HELP.
,,,,27 May 2005,To:Adams/Reply today.
,,,,27 May 2005,VERY IMPORTANT RESPOND BACK
,,,,27 May 2005,IMPORTANT.
,,,,27 May 2005,IMPORTANT.
,,,,28 May 2005,Increase need
,,,,29 May 2005,ASSIST ME
,,,,29 May 2005,from suha
,,,,29 May 2005,THANKS FOR UNDERSTANDING
,,,,30 May 2005,REPLY SOON
,,,,30 May 2005,GOOD DAY!!!!!
,,,,30 May 2005,GOOD DAY!!!!!
,,,,30 May 2005,GOOD DAY!!!!!
,,,,31 May 2005,CONFIDENTLY
,,,,01 Jun 2005,"REPRESENTATIVE NEEDED,,,,,,,,,"
,,,,2 Jun 2005,My Mail
,,,,,=?iso-8859-1?Q?ATTENTION?=
,,,,4 Jun 2005,proposition
,,,,5 Jun 2005,
,,,,5 Jun 2005,Mrs.Lydia Johnson and Son David
,,,,06 Jun 2005,URGENT BUSINESS ASSISTANCE
,,,,,urgent response
,,,,,HELLO!!
,,,,07 Jun 2005,Urgent
,,,,8 Jun 2005,
,,,,8 Jun 2005,very important
,,,,8 Jun 2005,Business offer
,,,,9 Jun 2005,very important
,,,,10 Jun 2005,Good day
,,,,10 Jun 2005,PARTNERSHIP.
,,,,,REPATRIATION OF $30.5M
,,,,13 Jun 2005,SADDAM PALACE
,,,,14 Jun 2005,ASSIST ME
,,,,15 Jun 2005,Business partnership
,,,,18 Jun 2005,Investment and Cooperation Opportunity.
,,,,,YOUR IMMEDIATE CONTRACT PAYMENT
,,,,,YOUR IMMEDIATE CONTRACT PAYMENT
,,,,17 Jun 2005,Treat as urgent
,,,,20 Jun 2005,From Mr. Botha
,,,,21 Jun 2005,GOD BLESS YOU !
,,,,21 Jun 2005,GOOD DAY
,,,,21 Jun 2005,Think about it...
,,,,21 Jun 2005,COME FOR MY HELP DEAR
,,,,20 Jun 2005,From Mr. Botha
,,,,16 Jun 2005,AATENTION:CEO.
,,,,15 Jun 2005,Business offer
,,,,22 Jun 2005,PLEASE HELP MY FAMILY.
,,,,22 Jun 2005,RESPOND URGENT AND CONFIDENTIAL 
,,,,23 Jun 2005,FROM ADE WILLIAMS
,,,,23 Jun 2005,Call From Mr Zuma Prince
,,,,23 Jun 2005,Call From Mr Zuma Prince
,,,,24 Jun 2005,Ugrent....
,,,,24 Jun 2005,from wu
,,,,25 Jun 2005,From Joy Kwame
,,,,25 Jun 2005,LET US DO BUSINESS
,,,,26 Jun 2005,Mrs.Nuchoni Yaoprasirth. 
,,,,27 Jun 2005,Assistance of Transaction.
,,,,28 Jun 2005,CMEC HUBEI COMPANY
,,,,29 Jun 2005,From Mrs Mariam
,,,,29 Jun 2005,Business Proposal.   
,,,,30 Jun 2005,URGENT PROPOSAL!!!!!!!!
,,,,30 Jun 2005,Need to hear from you please -From Gary Adams
,,,,30 Jun 2005,Need to hear from you please -From Gary Adams
,,,,,=?iso-8859-2?Q?urgent?=
,,,,1 Jul 2005,FROM TONY KASAKA
,,,,1 Jul 2005,REPRESENTATIVE NEEDED.
,,,,1 Jul 2005,REPRESENTATIVE NEEDED.
,,,,1 Jul 2005,Help Crying From Mr Mariam Mohamed & Brother
,,,,2 Jul 2005,This Message is for your Financial Prosperity
,,,,2 Jul 2005,This Message is for your Financial Prosperity
,,,,3 Jul 2005,INDIUCATE YOUR INTEREST
,,,,,MINISTRY OF WORKS AND HOUSING
,,,,,I NEED YOUR CO-OPERATION 
,,,,6 Jul 2005,FROM DAVID WOOD { LONDON}
,,,,7 Jul 2005,URGENT ATTENTION.
,,,,,URGENT AND SINCERE ASSISTANCE
,,,,,ASSISTANCE
,,,,11 Jul 2005,STRICTLY CONFIDENTIAL.
,,,,11 Jul 2005,ASSISTANCE
